LevelChar,Level,Name,Color,Icon,Order
R,Rising Stars,Pop Up,red,icon-R-risingstars.jpg,0
RS,Rising Stars,Pop Up,red,icon-R-risingstars.jpg,0
A,Technical Challenge,On Target,orange,icon-A-technical.jpg,1
B,Scientific,Medical Mystery,yellow,icon-B-scientific.jpg,2
C,Fine Arts,Game On,blue,icon-C-finearts.jpg,3
D,Improvisational,Heads Up,pink,icon-D-improv.jpg,4
E,Engineering/Structural,Monster Effects,green,icon-E-engineering.jpg,5
P,Outreach/Service,Escape Artists,teal,icon-P-outreach.jpg,6
X,Extreme,Extreme,black,icon-X-extreme.png,7
